Feature ID	Taxon	Consensus
02b6def1aa0c55161da042ba2c1ccfc3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
02c706ee399dc58416cb8fa7408a12a0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uncultured_bacterium	0.6
02cb4137ffe35cdacba56df2f79ad790	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	0.8
02d23c5de175f8dba20640e4fcdc23ff	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_bacterium	0.778
02d575da7f8eaa4c1312fdb8ba2d40a3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_megaterium	0.6
02dce53366ea0fbf1373c36efc9f5faa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans	1.0
02e323d9f30dc1413eb1ded4b8730208	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uncultured_bacterium	0.833
02e3ac341b89ad3b70ff25c58ec57017	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	1.0
02e86bff5ee757e05af3f9882886e4f4	Unassigned	1.0
02eba166b4d5bdb9417dac7954fe265b	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__uncultured_bacterium	0.6
02ef0119ee753d72462716bd414df61b	Unassigned	1.0
02f20ccf4d9557fe953f45fab929cd39	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudocitrobacter;s__uncultured_bacterium	1.0
02f521acb28a35e594a55afd161a1f90	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.9
02f5b13b629b37aa2119e527169bb89f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_organism	0.9
02fb55e43ed5850d4d1450d8cdd6eb4b	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
03014d6df91be1a6d7dc91d3f2ef2150	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	1.0
03100621d3c7e301d1a2478654e40ad7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_organism	0.9
03120c64a0b84c240211e5c572caa66d	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__uncultured_bacterium	0.9
0312f3d7666649f51be7ef7d5d195b16	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
031620d9058f87954629aab6c485e62b	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
0323d16efc02a5a8f78ebb5c8b6b5475	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella_morhuae	1.0
0324d4f893a7296abf45c9576d0c4fd1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
03285adfd7d1f5387f0629f426a60765	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
032db3a8dc56f445c7168f095b21830e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
0332b7e262709c1f66d8e7765a604583	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
03342c0e0159726dbe63850c415fd8d4	Unassigned	1.0
033ae1f16b779d25fbe1e7d683837fb1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
0352db1ca77914d7caf66564233c19a7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
0354704c7eef331ed78078cf4cbbed23	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
03564c08b3b6e59e2145b2965da43349	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__uncultured_bacterium	0.6
035756c45635283d280a0302d6b987f5	Unassigned	1.0
0366a70874e3d4e44449b3fc920a4613	Unassigned	1.0
036fc7b935a1b1556b90fdff06bc06e8	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__uncultured_bacterium	0.8
037b920e57018adfe5ee0ff7ee10bf1b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	1.0
037d8bd9a39b12c841bbc5fc27193e02	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Salinivibrio	0.9
038240f3b75fc2044f4c8fb180322359	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	1.0
03851c0720a8c7683c236933e6f554f5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Melghirimyces;s__Melghirimyces_thermohalophilus	1.0
038ab6f61382df059cce6bc46f891ab2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.9
0390cc32a19a38569e39fd6a33bcc48f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	1.0
03933fbfd7643d296082dc3218f61d8e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__uncultured_bacterium	0.6
03983a6d90bb99ad00e711466c4b61f8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
039dc3abbc90b6c434564b58491e4126	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__uncultured_bacterium	0.7
039dc6c8b6f11d337fefd916af32d72f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae	0.6
03b442d42fa8a7663ee49541d938a820	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__uncultured_bacterium	1.0
03b568e4f4d6658506f33fe3275fe0fd	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia	0.667
03b869e9b6340f2ee274535737c5339a	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.9
03bf1fb1b98fe34a135410596d57fe63	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Finegoldia;s__uncultured_bacterium	1.0
